utt,spk,pid,mid,speed,uid,dist,filename
SV0120_2_02_N0711.wav,SV0120,2,2,N,711,100,/root/teamshare/data/himia/train/SPEECHDATA/wav/SV0120/SV0120_2_02_N0711.wav
SV0120_2_02_N0641.wav,SV0120,2,2,N,641,100,/root/teamshare/data/himia/train/SPEECHDATA/wav/SV0120/SV0120_2_02_N0641.wav
SV0120_2_02_F0676.wav,SV0120,2,2,F,676,100,/root/teamshare/data/himia/train/SPEECHDATA/wav/SV0120/SV0120_2_02_F0676.wav
SV0120_2_02_S0696.wav,SV0120,2,2,S,696,100,/root/teamshare/data/himia/train/SPEECHDATA/wav/SV0120/SV0120_2_02_S0696.wav
SV0120_2_02_F0671.wav,SV0120,2,2,F,671,100,/root/teamshare/data/himia/train/SPEECHDATA/wav/SV0120/SV0120_2_02_F0671.wav
SV0120_2_02_F0661.wav,SV0120,2,2,F,661,100,/root/teamshare/data/himia/train/SPEECHDATA/wav/SV0120/SV0120_2_02_F0661.wav
SV0120_2_02_S0683.wav,SV0120,2,2,S,683,100,/root/teamshare/data/himia/train/SPEECHDATA/wav/SV0120/SV0120_2_02_S0683.wav
SV0120_2_02_N0644.wav,SV0120,2,2,N,644,100,/root/teamshare/data/himia/train/SPEECHDATA/wav/SV0120/SV0120_2_02_N0644.wav
SV0120_2_02_F0666.wav,SV0120,2,2,F,666,100,/root/teamshare/data/himia/train/SPEECHDATA/wav/SV0120/SV0120_2_02_F0666.wav
SV0120_2_02_F0670.wav,SV0120,2,2,F,670,100,/root/teamshare/data/himia/train/SPEECHDATA/wav/SV0120/SV0120_2_02_F0670.wav
SV0120_2_02_N0658.wav,SV0120,2,2,N,658,100,/root/teamshare/data/himia/train/SPEECHDATA/wav/SV0120/SV0120_2_02_N0658.wav
SV0120_2_02_N0651.wav,SV0120,2,2,N,651,100,/root/teamshare/data/himia/train/SPEECHDATA/wav/SV0120/SV0120_2_02_N0651.wav
SV0120_2_02_S0690.wav,SV0120,2,2,S,690,100,/root/teamshare/data/himia/train/SPEECHDATA/wav/SV0120/SV0120_2_02_S0690.wav
SV0120_2_02_N0648.wav,SV0120,2,2,N,648,100,/root/teamshare/data/himia/train/SPEECHDATA/wav/SV0120/SV0120_2_02_N0648.wav
SV0120_2_02_S0699.wav,SV0120,2,2,S,699,100,/root/teamshare/data/himia/train/SPEECHDATA/wav/SV0120/SV0120_2_02_S0699.wav
SV0120_2_02_N0653.wav,SV0120,2,2,N,653,100,/root/teamshare/data/himia/train/SPEECHDATA/wav/SV0120/SV0120_2_02_N0653.wav
SV0120_2_02_N0712.wav,SV0120,2,2,N,712,100,/root/teamshare/data/himia/train/SPEECHDATA/wav/SV0120/SV0120_2_02_N0712.wav
SV0120_2_02_N0660.wav,SV0120,2,2,N,660,100,/root/teamshare/data/himia/train/SPEECHDATA/wav/SV0120/SV0120_2_02_N0660.wav
SV0120_2_02_N0719.wav,SV0120,2,2,N,719,100,/root/teamshare/data/himia/train/SPEECHDATA/wav/SV0120/SV0120_2_02_N0719.wav
SV0120_2_02_F0677.wav,SV0120,2,2,F,677,100,/root/teamshare/data/himia/train/SPEECHDATA/wav/SV0120/SV0120_2_02_F0677.wav
SV0120_2_02_N0715.wav,SV0120,2,2,N,715,100,/root/teamshare/data/himia/train/SPEECHDATA/wav/SV0120/SV0120_2_02_N0715.wav
SV0120_2_02_N0710.wav,SV0120,2,2,N,710,100,/root/teamshare/data/himia/train/SPEECHDATA/wav/SV0120/SV0120_2_02_N0710.wav
SV0120_2_02_S0688.wav,SV0120,2,2,S,688,100,/root/teamshare/data/himia/train/SPEECHDATA/wav/SV0120/SV0120_2_02_S0688.wav
SV0120_2_02_N0657.wav,SV0120,2,2,N,657,100,/root/teamshare/data/himia/train/SPEECHDATA/wav/SV0120/SV0120_2_02_N0657.wav
SV0120_2_02_F0680.wav,SV0120,2,2,F,680,100,/root/teamshare/data/himia/train/SPEECHDATA/wav/SV0120/SV0120_2_02_F0680.wav
SV0120_2_02_F0667.wav,SV0120,2,2,F,667,100,/root/teamshare/data/himia/train/SPEECHDATA/wav/SV0120/SV0120_2_02_F0667.wav
